Date,Sleep score,Resting heart rate,Body Battery,Breaths per minute (during sleep),HRV-status,Deep sleep (mins),REM sleep (mins),Restless moments,Duration (mins),Bed-time,Wakeup-time,Steps,Calories,Weight (in kilograms),Max HR,Run (kms),Ride (kms),Minutes intense exercise,AvgTemp_C,MinTemp_C,MaxTemp_C,Sunrise,Sunset,Humidity_Max,Humidity_Avg,Humidity_Min,WindSpeed_Max,WindSpeed_Avg,WindSpeed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_mm
20/05/2025,94,53,70,12,38,84,132,40,542,11:09 PM,8:16 AM,9078,3209,81.4,131,0,14.81,89,14.9,9,20,05:37,21:37,94,66.9,35,26,14.1,6,1020.5,1019.1,1018.5,0
19/05/2025,89,52,69,12,36,71,141,44,519,11:45 PM,8:31 AM,13199,3040,81.7,151,8.5,0,112,15.1,8,20,05:38,21:35,100,66.4,40,24,13.1,4,1021.5,1020.2,1019.5,0
18/05/2025,87,55,55,13,34,71,97,41,468,1:26 AM,9:14 AM,6733,2649,82,116,0,0,0,13.9,11,18,05:40,21:34,88,72.9,55,26,15.6,9,1019.5,1017.9,1017.5,0
17/05/2025,88,55,56,13,34,92,123,56,536,1:12 AM,10:21 AM,9005,2966,82,145,0,0,51,12.7,9,17,05:41,21:32,100,77.9,55,26,16.1,6,1020.5,1019,1018.5,0
16/05/2025,90,55,65,13,34,92,123,44,574,2:36 AM,12:12 PM,7981,2586,82,109,0,0,0,10.6,6,14,05:43,21:31,100,80,63,26,15.8,6,1024.5,1022.5,1020.5,0
15/05/2025,79,58,62,13,33,68,48,51,475,3:21 AM,11:23 AM,2447,2589,81.9,120,0,0,10,12.6,7,18,05:44,21:29,93,66.4,37,31,22.2,13,1024.5,1021.2,1019.5,0
14/05/2025,70,58,54,14,33,73,31,47,477,1:42 AM,9:57 AM,2629,2622,81.9,120,0,0,2,13.8,10,19,05:46,21:28,82,69,45,28,17.4,7,1020.5,1020,1019.5,0
13/05/2025,72,61,37,13,34,77,44,36,394,2:15 AM,8:50 AM,4365,2707,81.9,145,0,0,33,17.3,12,22,05:47,21:26,67,45.5,31,28,19.9,15,1019.5,1018.3,1016.5,0
12/05/2025,81,60,44,13,35,86,76,39,447,12:40 AM,8:09 AM,8979,2698,81.9,116,0,0,0,19,13,24,05:49,21:25,67,46.9,31,24,18.4,11,1015.5,1013.4,1012.5,0
11/05/2025,75,58,48,13,37,64,63,38,443,12:13 AM,7:59 AM,7742,2387,81.8,101,0,0,0,18.2,11,24,05:51,21:23,76,48.7,25,28,16.6,6,1017.5,1014.4,1011.5,0
